client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
83b5d70d372dfbbca0834675aec8e7df1a4f26718fb824952b93268d0f2f0ace0e8dbf57ac113c729a21058fff073b27ec21addf8cc5e8146886602d5ce3088b	common_voice_ro_36663208.mp3	Acum vom merge să semnăm pachetul legislativ.	0	0					ro	
83b5d70d372dfbbca0834675aec8e7df1a4f26718fb824952b93268d0f2f0ace0e8dbf57ac113c729a21058fff073b27ec21addf8cc5e8146886602d5ce3088b	common_voice_ro_36663209.mp3	Faptul că a fost comandat un alt studiu.	0	0					ro	
83b5d70d372dfbbca0834675aec8e7df1a4f26718fb824952b93268d0f2f0ace0e8dbf57ac113c729a21058fff073b27ec21addf8cc5e8146886602d5ce3088b	common_voice_ro_36663210.mp3	Vorbesc în calitate de cetățean european.	0	0					ro	
c9d4cfa688f116c69ce0e75c8f05546dfefbb1388dda0d6ba82e3769f7ba51d15c37eb6dc90523bf71704d3cc3d083aad64ae791a34e9f8dcf5e670c8890a14a	common_voice_ro_36799619.mp3	Europa trebuie să se menţină pe poziţii.	0	0	thirties	female	Standard		ro	
c9d4cfa688f116c69ce0e75c8f05546dfefbb1388dda0d6ba82e3769f7ba51d15c37eb6dc90523bf71704d3cc3d083aad64ae791a34e9f8dcf5e670c8890a14a	common_voice_ro_36799620.mp3	De aceea, susţin propunerile în totalitate.	0	0	thirties	female	Standard		ro	
c9d4cfa688f116c69ce0e75c8f05546dfefbb1388dda0d6ba82e3769f7ba51d15c37eb6dc90523bf71704d3cc3d083aad64ae791a34e9f8dcf5e670c8890a14a	common_voice_ro_36799621.mp3	Totuşi, doresc să menţionez câteva aspecte.	0	0	thirties	female	Standard		ro	
c9d4cfa688f116c69ce0e75c8f05546dfefbb1388dda0d6ba82e3769f7ba51d15c37eb6dc90523bf71704d3cc3d083aad64ae791a34e9f8dcf5e670c8890a14a	common_voice_ro_36799622.mp3	Mi-ar plăcea foarte mult să obţinem acest lucru.	0	0	thirties	female	Standard		ro	
c9d4cfa688f116c69ce0e75c8f05546dfefbb1388dda0d6ba82e3769f7ba51d15c37eb6dc90523bf71704d3cc3d083aad64ae791a34e9f8dcf5e670c8890a14a	common_voice_ro_36799623.mp3	Trebuie să distrugem acest climat al fricii.	0	0	thirties	female	Standard		ro	
c9d4cfa688f116c69ce0e75c8f05546dfefbb1388dda0d6ba82e3769f7ba51d15c37eb6dc90523bf71704d3cc3d083aad64ae791a34e9f8dcf5e670c8890a14a	common_voice_ro_36799624.mp3	Nu este posibil să le combinăm într-un bloc.	0	0	thirties	female	Standard		ro	
c9d4cfa688f116c69ce0e75c8f05546dfefbb1388dda0d6ba82e3769f7ba51d15c37eb6dc90523bf71704d3cc3d083aad64ae791a34e9f8dcf5e670c8890a14a	common_voice_ro_36799625.mp3	Mie mi s-a reproșat adesea că distrug prestigiul universității, atacând găștile universitare.	0	0	thirties	female	Standard		ro	
c9d4cfa688f116c69ce0e75c8f05546dfefbb1388dda0d6ba82e3769f7ba51d15c37eb6dc90523bf71704d3cc3d083aad64ae791a34e9f8dcf5e670c8890a14a	common_voice_ro_36799626.mp3	Acest lucru mi se pare de-a dreptul inacceptabil.	0	0	thirties	female	Standard		ro	
c9d4cfa688f116c69ce0e75c8f05546dfefbb1388dda0d6ba82e3769f7ba51d15c37eb6dc90523bf71704d3cc3d083aad64ae791a34e9f8dcf5e670c8890a14a	common_voice_ro_36799627.mp3	Dar oare ne face să înaintăm?	0	0	thirties	female	Standard		ro	
c9d4cfa688f116c69ce0e75c8f05546dfefbb1388dda0d6ba82e3769f7ba51d15c37eb6dc90523bf71704d3cc3d083aad64ae791a34e9f8dcf5e670c8890a14a	common_voice_ro_36799628.mp3	Sute de copii sunt adoptați ilegal sau comercializați.	0	0	thirties	female	Standard		ro	
c9d4cfa688f116c69ce0e75c8f05546dfefbb1388dda0d6ba82e3769f7ba51d15c37eb6dc90523bf71704d3cc3d083aad64ae791a34e9f8dcf5e670c8890a14a	common_voice_ro_36799629.mp3	M-am speriat de moarte.	0	0	thirties	female	Standard		ro	
c9d4cfa688f116c69ce0e75c8f05546dfefbb1388dda0d6ba82e3769f7ba51d15c37eb6dc90523bf71704d3cc3d083aad64ae791a34e9f8dcf5e670c8890a14a	common_voice_ro_36799630.mp3	Există noi oportunităţi, dar şi noi provocări.	0	0	thirties	female	Standard		ro	
c9d4cfa688f116c69ce0e75c8f05546dfefbb1388dda0d6ba82e3769f7ba51d15c37eb6dc90523bf71704d3cc3d083aad64ae791a34e9f8dcf5e670c8890a14a	common_voice_ro_36799631.mp3	Avem reprezentanți din toată țara și cu produse de toate felurile.	0	0	thirties	female	Standard		ro	
c9d4cfa688f116c69ce0e75c8f05546dfefbb1388dda0d6ba82e3769f7ba51d15c37eb6dc90523bf71704d3cc3d083aad64ae791a34e9f8dcf5e670c8890a14a	common_voice_ro_36799633.mp3	Acestea sunt măsurile care au fost luate deja.	0	0	thirties	female	Standard		ro	
c9d4cfa688f116c69ce0e75c8f05546dfefbb1388dda0d6ba82e3769f7ba51d15c37eb6dc90523bf71704d3cc3d083aad64ae791a34e9f8dcf5e670c8890a14a	common_voice_ro_36799634.mp3	Ele cunosc cel mai bine aceste probleme.	0	0	thirties	female	Standard		ro	
c9d4cfa688f116c69ce0e75c8f05546dfefbb1388dda0d6ba82e3769f7ba51d15c37eb6dc90523bf71704d3cc3d083aad64ae791a34e9f8dcf5e670c8890a14a	common_voice_ro_36799635.mp3	Ar trebui să adoptăm acest raport.	0	0	thirties	female	Standard		ro	
c9d4cfa688f116c69ce0e75c8f05546dfefbb1388dda0d6ba82e3769f7ba51d15c37eb6dc90523bf71704d3cc3d083aad64ae791a34e9f8dcf5e670c8890a14a	common_voice_ro_36799636.mp3	Va duce la contrariul adaptării şi asimilării.	0	0	thirties	female	Standard		ro	
c9d4cfa688f116c69ce0e75c8f05546dfefbb1388dda0d6ba82e3769f7ba51d15c37eb6dc90523bf71704d3cc3d083aad64ae791a34e9f8dcf5e670c8890a14a	common_voice_ro_36799637.mp3	Este un limbaj totalitar şi este inacceptabil.	0	0	thirties	female	Standard		ro	
c9d4cfa688f116c69ce0e75c8f05546dfefbb1388dda0d6ba82e3769f7ba51d15c37eb6dc90523bf71704d3cc3d083aad64ae791a34e9f8dcf5e670c8890a14a	common_voice_ro_36799638.mp3	Niciun alt lucru nu poate fi mai important.	0	0	thirties	female	Standard		ro	
c9d4cfa688f116c69ce0e75c8f05546dfefbb1388dda0d6ba82e3769f7ba51d15c37eb6dc90523bf71704d3cc3d083aad64ae791a34e9f8dcf5e670c8890a14a	common_voice_ro_36799639.mp3	Acest lucru este în interesul tuturor.	0	0	thirties	female	Standard		ro	
c9d4cfa688f116c69ce0e75c8f05546dfefbb1388dda0d6ba82e3769f7ba51d15c37eb6dc90523bf71704d3cc3d083aad64ae791a34e9f8dcf5e670c8890a14a	common_voice_ro_36799640.mp3	Ea a fost o mămică tânără și se laudă cu asta.	0	0	thirties	female	Standard		ro	
c9d4cfa688f116c69ce0e75c8f05546dfefbb1388dda0d6ba82e3769f7ba51d15c37eb6dc90523bf71704d3cc3d083aad64ae791a34e9f8dcf5e670c8890a14a	common_voice_ro_36799641.mp3	Mă refer, desigur, la supravegherea financiară.	0	0	thirties	female	Standard		ro	
c9d4cfa688f116c69ce0e75c8f05546dfefbb1388dda0d6ba82e3769f7ba51d15c37eb6dc90523bf71704d3cc3d083aad64ae791a34e9f8dcf5e670c8890a14a	common_voice_ro_36799642.mp3	Aceasta este o consecinţă a necunoaşterii bolii.	0	0	thirties	female	Standard		ro	
